Entity,Code,Year,Number of newly founded AI companies
China,CHN,2013,27
China,CHN,2014,43
China,CHN,2015,72
China,CHN,2016,69
China,CHN,2017,92
China,CHN,2018,205
China,CHN,2019,217
China,CHN,2020,192
China,CHN,2021,260
China,CHN,2022,160
European Union and United Kingdom,,2013,53
European Union and United Kingdom,,2014,78
European Union and United Kingdom,,2015,90
European Union and United Kingdom,,2016,117
European Union and United Kingdom,,2017,170
European Union and United Kingdom,,2018,225
European Union and United Kingdom,,2019,224
European Union and United Kingdom,,2020,248
European Union and United Kingdom,,2021,343
European Union and United Kingdom,,2022,293
United States,USA,2013,337
United States,USA,2014,352
United States,USA,2015,292
United States,USA,2016,402
United States,USA,2017,510
United States,USA,2018,516
United States,USA,2019,494
United States,USA,2020,537
United States,USA,2021,661
United States,USA,2022,542
World,OWID_WRL,2013,495
World,OWID_WRL,2014,568
World,OWID_WRL,2015,572
World,OWID_WRL,2016,712
World,OWID_WRL,2017,983
World,OWID_WRL,2018,1234
World,OWID_WRL,2019,1197
World,OWID_WRL,2020,1289
World,OWID_WRL,2021,1669
World,OWID_WRL,2022,1392
